Date,Values
2015-09-23,35153.25
2015-09-24,25134.5
2015-09-25,6739.25
2015-09-26,6856.5
2015-09-27,2541.5
2015-09-28,1801.75
2015-09-29,2586.5
2015-09-30,4214.75
2015-10-01,5392.0
2015-10-02,6509.25
2015-10-03,6293.75
2015-10-04,22887.75
2015-10-05,59658.75
2015-10-06,41136.25
2015-10-07,15636.25
2015-10-08,6674.0
2015-10-09,26065.0
2015-10-10,56997.0
2015-10-11,49690.75
2015-10-12,41860.0
2015-10-13,58198.0
2015-10-14,55160.5
2015-10-15,54685.5
2015-10-16,18162.75
2015-10-17,12551.0
2015-10-18,4820.0
2015-10-19,1960.0
2015-10-20,38933.0
2015-10-21,54439.25
2015-10-22,31462.75
2015-10-23,41229.25
2015-10-24,28327.75
2015-10-25,21293.5
2015-10-26,26584.0
2015-10-27,37821.5
2015-10-28,6270.0
2015-10-29,23095.0
2015-10-30,30191.25
2015-10-31,3017.25
2015-11-01,2545.0
2015-11-02,4224.75
2015-11-03,11985.25
2015-11-04,25959.0
2015-11-05,39368.0
2015-11-06,52232.0
2015-11-07,48035.0
2015-11-08,65466.0
2015-11-09,66739.25
2015-11-10,67601.75
2015-11-11,58719.0
2015-11-12,63715.0
2015-11-13,60124.25
2015-11-14,22061.25
2015-11-15,57403.0
2015-11-16,49961.5
2015-11-17,57819.25
2015-11-18,53413.25
2015-11-19,33428.75
2015-11-20,37923.75
2015-11-21,53811.25
2015-11-22,30536.0
2015-11-23,56976.0
2015-11-24,25577.25
2015-11-25,25640.0
2015-11-26,59627.5
2015-11-27,63482.75
2015-11-28,52505.0
2015-11-29,43694.5
2015-11-30,47378.25
2015-12-01,58105.75
2015-12-02,57991.0
2015-12-03,60465.75
2015-12-04,47751.25
2015-12-05,43050.25
2015-12-06,12267.5
2015-12-07,28751.25
2015-12-08,33606.5
2015-12-09,34763.25
2015-12-10,50368.5
2015-12-11,48414.25
2015-12-12,24335.0
2015-12-13,18682.5
2015-12-14,15562.5
2015-12-15,52126.75
2015-12-16,57563.0
2015-12-17,58481.25
2015-12-18,61333.25
2015-12-19,65291.5
2015-12-20,61208.75
2015-12-21,61644.0
2015-12-22,63047.5
2015-12-23,63689.0
2015-12-24,59681.25
2015-12-25,56392.0
2015-12-26,52426.75
2015-12-27,38687.5
2015-12-28,55179.0
2015-12-29,54911.5
2015-12-30,60106.5
2015-12-31,21020.75
2016-01-01,64458.0
2016-01-02,63146.75
2016-01-03,63842.25
2016-01-04,62487.25
2016-01-05,62393.75
2016-01-06,64368.25
2016-01-07,41995.25
2016-01-08,38656.0
2016-01-09,58803.5
2016-01-10,29980.25
2016-01-11,25906.5
2016-01-12,26409.0
2016-01-13,26714.5
2016-01-14,19333.0
2016-01-15,26024.5
2016-01-16,22668.75
2016-01-17,28262.5
2016-01-18,39264.25
2016-01-19,13905.75
2016-01-20,15289.75
2016-01-21,47906.25
2016-01-22,37202.0
2016-01-23,56633.0
2016-01-24,56678.25
2016-01-25,62379.5
2016-01-26,57138.0
2016-01-27,64589.75
2016-01-28,63989.75
2016-01-29,65480.5
2016-01-30,59400.0
2016-01-31,48074.5
2016-02-01,48937.0
2016-02-02,62151.75
2016-02-03,37613.25
2016-02-04,46324.5
2016-02-05,64381.25
2016-02-06,66275.25
2016-02-07,65496.75
2016-02-08,47099.25
2016-02-09,33983.0
2016-02-10,28528.5
2016-02-11,3484.5
2016-02-12,26451.0
2016-02-13,65868.75
2016-02-14,44282.25
2016-02-15,12293.25
2016-02-16,45524.75
2016-02-17,25063.5
2016-02-18,27347.0
2016-02-19,69424.5
2016-02-20,56880.25
2016-02-21,65445.0
2016-02-22,60160.75
2016-02-23,47084.0
2016-02-24,33413.5
2016-02-25,10994.75
2016-02-26,704.0
2016-02-27,7203.25
2016-02-28,5621.0
2016-02-29,51356.0
2016-03-01,32211.0
2016-03-02,9419.25
2016-03-03,42744.25
2016-03-04,15705.75
2016-03-05,11269.5
2016-03-06,9414.5
2016-03-07,11066.0
2016-03-08,41257.75
2016-03-09,20936.5
2016-03-10,8463.5
2016-03-11,5296.5
2016-03-12,3533.75
2016-03-13,3299.25
2016-03-14,16720.25
2016-03-15,12016.0
2016-03-16,12397.25
2016-03-17,31990.75
2016-03-18,38037.75
2016-03-19,53805.5
2016-03-20,58318.5
2016-03-21,30214.5
2016-03-22,23748.0
2016-03-23,12120.75
2016-03-24,24114.75
2016-03-25,43843.25
2016-03-26,56903.5
2016-03-27,63808.25
2016-03-28,48554.5
2016-03-29,47656.25
2016-03-30,13070.25
2016-03-31,8470.0
2016-04-01,21332.0
2016-04-02,22719.75
2016-04-03,32033.0
2016-04-04,17815.25
2016-04-05,54423.75
2016-04-06,65991.0
2016-04-07,15144.75
2016-04-08,14147.0
2016-04-09,36290.0
2016-04-10,57293.75
2016-04-11,36465.0
2016-04-12,4791.75
2016-04-13,2021.75
2016-04-14,4529.75
2016-04-15,34536.0
2016-04-16,46440.5
2016-04-17,56209.25
2016-04-18,55823.75
2016-04-19,25573.5
2016-04-20,13348.5
2016-04-21,31435.25
2016-04-22,31694.5
2016-04-23,20169.75
2016-04-24,18710.25
2016-04-25,13357.5
2016-04-26,42500.5
2016-04-27,17098.0
2016-04-28,54443.5
2016-04-29,32769.75
2016-04-30,2557.0
2016-05-01,22377.75
2016-05-02,28072.25
2016-05-03,4895.75
2016-05-04,19025.25
2016-05-05,44026.25
2016-05-06,50785.25
2016-05-07,54632.25
2016-05-08,53627.5
2016-05-09,47679.5
2016-05-10,55565.25
2016-05-11,46709.75
2016-05-12,32104.75
2016-05-13,56762.75
2016-05-14,56444.25
2016-05-15,34777.25
2016-05-16,28152.5
2016-05-17,10533.0
2016-05-18,5495.0
2016-05-19,30276.25
2016-05-20,25773.0
2016-05-21,16866.5
2016-05-22,27120.25
2016-05-23,32180.5
2016-05-24,2810.75
2016-05-25,1749.25
2016-05-26,3824.5
2016-05-27,14949.5
2016-05-28,33785.5
2016-05-29,57786.5
2016-05-30,35602.5
2016-05-31,47218.5
2016-06-01,47735.0
2016-06-02,17145.5
2016-06-03,7330.25
2016-06-04,10500.5
2016-06-05,4012.0
2016-06-06,3606.0
2016-06-07,37328.75
2016-06-08,20119.5
2016-06-09,27432.75
2016-06-10,5472.0
2016-06-11,22689.0
2016-06-12,32052.0
2016-06-13,12707.75
2016-06-14,740.25
2016-06-15,171.5
2016-06-16,5704.5
2016-06-17,22543.75
2016-06-18,20697.5
2016-06-19,46874.0
2016-06-20,5942.25
2016-06-21,9467.25
2016-06-22,18683.25
2016-06-23,16487.5
2016-06-24,5849.0
2016-06-25,21498.75
2016-06-26,30330.75
2016-06-27,9146.5
2016-06-28,31335.75
2016-06-29,25305.75
2016-06-30,42032.5
2016-07-01,53624.25
2016-07-02,43877.5
2016-07-03,11011.75
2016-07-04,38882.75
2016-07-05,61583.0
2016-07-06,34236.5
2016-07-07,34884.0
2016-07-08,32608.25
2016-07-09,48326.0
2016-07-10,59701.75
2016-07-11,31576.25
2016-07-12,5486.5
2016-07-13,50990.0
2016-07-14,50172.0
2016-07-15,34587.75
2016-07-16,15394.5
2016-07-17,17614.25
2016-07-18,4655.0
2016-07-19,38330.75
2016-07-20,8871.75
2016-07-21,9646.0
2016-07-22,4250.25
2016-07-23,510.5
2016-07-24,12767.0
2016-07-25,4689.25
2016-07-26,16692.75
2016-07-27,3478.0
2016-07-28,7482.25
2016-07-29,10948.75
2016-07-30,7204.5
2016-07-31,25573.75
2016-08-01,7860.25
2016-08-02,46494.75
2016-08-03,55252.5
2016-08-04,26970.75
2016-08-05,26624.25
2016-08-06,57484.0
2016-08-07,71437.25
2016-08-08,59324.25
2016-08-09,53628.75
2016-08-10,25774.0
2016-08-11,36737.0
2016-08-12,48802.0
2016-08-13,19591.0
2016-08-14,6257.0
2016-08-15,5556.75
2016-08-16,4029.75
2016-08-17,9157.5
2016-08-18,6587.5
2016-08-19,34212.0
2016-08-20,41979.5
2016-08-21,33516.0
2016-08-22,6234.25
2016-08-23,18562.0
2016-08-24,11676.75
2016-08-25,19380.5
2016-08-26,10313.0
2016-08-27,41180.75
2016-08-28,41188.25
2016-08-29,19973.75
2016-08-30,7944.0
2016-08-31,12956.25
2016-09-01,36476.0
2016-09-02,13471.25
2016-09-03,22139.5
2016-09-04,7501.75
2016-09-05,9435.25
2016-09-06,4710.5
2016-09-07,16342.75
2016-09-08,10405.75
2016-09-09,17796.0
2016-09-10,20435.5
2016-09-11,13320.5
2016-09-12,23970.5
2016-09-13,46153.75
2016-09-14,49200.0
2016-09-15,18899.25
2016-09-16,18614.0
2016-09-17,21873.75
2016-09-18,3278.0
2016-09-19,4021.0
2016-09-20,3313.0
2016-09-21,8141.25
2016-09-22,14616.75
2016-09-23,22120.5
2016-09-24,44657.75
2016-09-25,4797.25
2016-09-26,27905.5
2016-09-27,73842.75
2016-09-28,74557.75
2016-09-29,66018.5
2016-09-30,12530.5
2016-10-01,13050.25
2016-10-02,47061.5
2016-10-03,59532.0
2016-10-04,60112.5
2016-10-05,62223.75
2016-10-06,40631.75
2016-10-07,33553.75
2016-10-08,27546.75
2016-10-09,16851.75
2016-10-10,64106.25
2016-10-11,71095.75
2016-10-12,65048.75
2016-10-13,75780.0
2016-10-14,57640.5
2016-10-15,35473.25
2016-10-16,32090.75
2016-10-17,41414.75
2016-10-18,18826.25
2016-10-19,60252.0
2016-10-20,58150.5
2016-10-21,42253.0
2016-10-22,20736.5
2016-10-23,35671.25
2016-10-24,7944.5
2016-10-25,35182.75
2016-10-26,61706.75
2016-10-27,73844.5
2016-10-28,54558.75
2016-10-29,9924.5
2016-10-30,9826.5
2016-10-31,69289.5
2016-11-01,60428.75
2016-11-02,20664.25
2016-11-03,56235.25
2016-11-04,21965.25
2016-11-05,38551.0
2016-11-06,54741.0
2016-11-07,17734.25
2016-11-08,15689.75
2016-11-09,19740.5
2016-11-10,20834.0
2016-11-11,50686.5
2016-11-12,35729.75
2016-11-13,63617.75
2016-11-14,47881.5
2016-11-15,53736.25
2016-11-16,68171.5
2016-11-17,71640.5
2016-11-18,70211.5
2016-11-19,69836.25
2016-11-20,46144.0
2016-11-21,60888.25
2016-11-22,17147.75
2016-11-23,20035.0
2016-11-24,4912.5
2016-11-25,42337.0
2016-11-26,49289.75
2016-11-27,28203.75
2016-11-28,44728.25
2016-11-29,75851.25
2016-11-30,75408.75
2016-12-01,48057.25
2016-12-02,7862.75
2016-12-03,5098.5
2016-12-04,13461.75
2016-12-05,13162.75
2016-12-06,58506.5
2016-12-07,48540.75
2016-12-08,59453.0
2016-12-09,51345.75
2016-12-10,62365.75
2016-12-11,17501.75
2016-12-12,17190.5
2016-12-13,14675.0
2016-12-14,44361.0
2016-12-15,19369.5
2016-12-16,21208.0
2016-12-17,19743.5
2016-12-18,5860.0
2016-12-19,23474.5
2016-12-20,70375.75
2016-12-21,63321.25
2016-12-22,73768.0
2016-12-23,70949.75
2016-12-24,66919.0
2016-12-25,53414.0
2016-12-26,61700.75
2016-12-27,24474.0
2016-12-28,48664.5
2016-12-29,61155.75
2016-12-30,77424.0
2016-12-31,51770.5
2017-01-01,60845.0
2017-01-02,74271.25
2017-01-03,69998.75
2017-01-04,34381.25
2017-01-05,39175.0
2017-01-06,57525.25
2017-01-07,6980.25
2017-01-08,55889.75
2017-01-09,46164.0
2017-01-10,74425.0
2017-01-11,62968.25
2017-01-12,46104.0
2017-01-13,70290.25
2017-01-14,29126.5
2017-01-15,4783.75
2017-01-16,8292.0
2017-01-17,42065.5
2017-01-18,21153.0
2017-01-19,10283.0
2017-01-20,3425.75
2017-01-21,6537.75
2017-01-22,9636.75
2017-01-23,9687.0
2017-01-24,17596.5
2017-01-25,55063.25
2017-01-26,49273.0
2017-01-27,44668.25
2017-01-28,64850.25
2017-01-29,49609.25
2017-01-30,53971.25
2017-01-31,69173.75
2017-02-01,70644.5
2017-02-02,35438.75
2017-02-03,22811.0
2017-02-04,33572.0
2017-02-05,64618.25
2017-02-06,89077.5
2017-02-07,77010.25
2017-02-08,58515.0
2017-02-09,83378.0
2017-02-10,87949.25
2017-02-11,92867.0
